"Title:","palomar - Traffic - Gi1/0/2"
"Vertical Label:","bits per second"
"Start Date:","2017-03-12 20:00:00"
"End Date:","2017-05-12 21:00:00"
"Step:","7200"
"Total Rows:","733"
"Graph ID:","8"
"Host ID:","2"
""
"Date","Inbound","Outbound"
"2017-03-12 20:00:00","3.2300623481e+03","2.6774170467e+04"
"2017-03-12 22:00:00","8.6704791206e+03","2.6072758661e+04"
"2017-03-13 00:00:00","3.1917704056e+03","2.5941219224e+04"
"2017-03-13 02:00:00","1.1486719018e+04","2.6948928505e+04"
"2017-03-13 04:00:00","5.2039198435e+04","2.7290689989e+04"
"2017-03-13 06:00:00","9.3731265190e+03","2.7977769409e+04"
"2017-03-13 08:00:00","7.3708992204e+05","7.6505486915e+04"
"2017-03-13 10:00:00","3.2250518022e+06","1.9252557272e+05"
"2017-03-13 12:00:00","7.1399702053e+06","4.5994749604e+05"
"2017-03-13 14:00:00","9.2102517806e+06","8.0270612939e+05"
"2017-03-13 16:00:00","9.4400243184e+06","6.3084488621e+05"
"2017-03-13 18:00:00","8.9954153661e+06","5.5995838942e+05"
"2017-03-13 20:00:00","7.3102165504e+06","4.2720463712e+05"
"2017-03-13 22:00:00","1.0573229923e+06","1.2162022267e+05"
"2017-03-14 00:00:00","3.2985568204e+04","3.9981311690e+04"
"2017-03-14 02:00:00","1.2551455532e+04","3.2442552112e+04"
"2017-03-14 04:00:00","3.0734906883e+04","3.3101171540e+04"
"2017-03-14 06:00:00","6.7767970370e+03","3.1304951369e+04"
"2017-03-14 08:00:00","3.1347195915e+05","4.4148536368e+04"
"2017-03-14 10:00:00","1.0274601391e+06","1.2634699356e+05"
"2017-03-14 12:00:00","7.4650279115e+06","1.6922134349e+06"
"2017-03-14 14:00:00","7.3489742656e+06","6.0971901446e+05"
"2017-03-14 16:00:00","8.4453307124e+06","1.1297939886e+06"
"2017-03-14 18:00:00","5.8859943932e+06","5.1849317037e+05"
"2017-03-14 20:00:00","8.8501657180e+06","8.0890943796e+05"
"2017-03-14 22:00:00","1.2839200650e+06","1.5383716934e+05"
"2017-03-15 00:00:00","5.0044562801e+04","3.0592511323e+04"
"2017-03-15 02:00:00","3.3615942577e+04","2.9493702373e+04"
"2017-03-15 04:00:00","1.0630067077e+05","3.4844380296e+04"
"2017-03-15 06:00:00","1.6456485741e+04","3.0264538615e+04"
"2017-03-15 08:00:00","1.9936330557e+05","4.2524417074e+04"
"2017-03-15 10:00:00","3.6617372403e+06","2.3935290404e+05"
"2017-03-15 12:00:00","8.6291229088e+06","6.3732547014e+05"
"2017-03-15 14:00:00","1.1576371063e+07","7.0007381455e+05"
"2017-03-15 16:00:00","7.6313484085e+06","7.0325029365e+05"
"2017-03-15 18:00:00","8.5735084993e+06","5.6842337997e+05"
"2017-03-15 20:00:00","1.6603834783e+07","7.8561636884e+05"
"2017-03-15 22:00:00","5.8346087419e+06","3.4472169895e+05"
"2017-03-16 00:00:00","6.4087760440e+05","5.3754042924e+04"
"2017-03-16 02:00:00","2.1030098175e+04","3.2509484699e+04"
"2017-03-16 04:00:00","7.1221782363e+04","3.3528895905e+04"
"2017-03-16 06:00:00","2.5743997544e+04","3.4323383837e+04"
"2017-03-16 08:00:00","9.1636703638e+05","5.9913609814e+04"
"2017-03-16 10:00:00","3.4613140867e+06","2.3786366839e+05"
"2017-03-16 12:00:00","7.5836220729e+06","6.4549344981e+05"
"2017-03-16 14:00:00","7.0733857100e+06","6.6989755575e+05"
"2017-03-16 16:00:00","6.2164167657e+06","4.3466410757e+05"
"2017-03-16 18:00:00","6.5200421591e+06","4.6122724835e+05"
"2017-03-16 20:00:00","1.4879372887e+07","8.5454817433e+05"
"2017-03-16 22:00:00","7.8279300489e+06","2.7514172152e+05"
"2017-03-17 00:00:00","1.3349633435e+05","3.6848714976e+04"
"2017-03-17 02:00:00","7.8220684181e+04","3.5391657675e+04"
"2017-03-17 04:00:00","1.1731396951e+05","3.8817709010e+04"
"2017-03-17 06:00:00","3.9691839281e+04","3.5398151911e+04"
"2017-03-17 08:00:00","3.8875922779e+05","5.2888217193e+04"
"2017-03-17 10:00:00","4.5399404969e+06","2.5553698567e+05"
"2017-03-17 12:00:00","9.0818800013e+06","5.7534655805e+05"
"2017-03-17 14:00:00","9.1827371216e+06","5.8902052972e+05"
"2017-03-17 16:00:00","6.5624097537e+06","4.8064460803e+05"
"2017-03-17 18:00:00","9.8971174746e+06","8.7492714185e+06"
"2017-03-17 20:00:00","9.9845796540e+06","1.1075368125e+06"
"2017-03-17 22:00:00","3.8653156672e+06","4.3602834949e+05"
"2017-03-18 00:00:00","2.6512226949e+05","4.0754719149e+04"
"2017-03-18 02:00:00","5.5223411654e+04","3.4496747461e+04"
"2017-03-18 04:00:00","1.1141182376e+05","3.4980178421e+04"
"2017-03-18 06:00:00","2.8773536191e+04","3.3852151156e+04"
"2017-03-18 08:00:00","6.5974021431e+05","4.9485211319e+04"
"2017-03-18 10:00:00","1.5434199939e+07","9.9812977516e+05"
"2017-03-18 12:00:00","2.3776766210e+07","9.0687305085e+05"
"2017-03-18 14:00:00","3.4934689350e+07","8.5616051915e+05"
"2017-03-18 16:00:00","1.0494829496e+06","7.3511971997e+04"
"2017-03-18 18:00:00","6.3239653912e+04","3.7008196269e+04"
"2017-03-18 20:00:00","6.0230069619e+04","3.1319524777e+04"
"2017-03-18 22:00:00","7.2189632770e+04","3.2384981674e+04"
"2017-03-19 00:00:00","1.8839909789e+05","3.4755132326e+04"
"2017-03-19 02:00:00","3.1090693333e+04","3.1967305489e+04"
"2017-03-19 04:00:00","9.0844901713e+04","3.3359212976e+04"
"2017-03-19 06:00:00","5.7780242772e+04","3.2439388413e+04"
